name,furniture_type,price,color,shop_name,shop_item_id,shop_url,x_dimension,y_dimension,z_dimension,photo
ラージュ ソファ R ダークグレー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015577?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40429906231319&position=32,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015577_d1.jpg?v=1670488777
エーデル カウチ ライトグレー,sofa,119000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010014570?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40121846431767&position=33,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010014570_d1.jpg?v=1661753172
【オンラインショップ限定】WARMY ボティーヌ ごろ寝マット グレー,sofa,5440,#c5bdbd,francfranc,,https://francfranc.com/products/1102110040149?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40252416393239&position=34,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102110040149_d1.jpg?v=1660719564
ヌボラ ソファ 2 2S グレー（W1500）,sofa,54000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010014990?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40121846693911&position=35,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010014990_d1.jpg?v=1659501772
ヌボラ ソファ 2 1S グレー（W745）,sofa,34000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015034?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40121846988823&position=36,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015034_d1.jpg?v=1659501601
ヌボラ オットマン 2 グレー（W480）,sofa,16000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015065?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40121846005783&position=37,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010015065_d1.jpg?v=1659501476
【オンラインショップ限定】カラン フロアソファ グレー（W1120～1570）,sofa,24800,#c5bdbd,francfranc,,https://francfranc.com/products/1108010014785?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=40121846366231&position=38,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010014785_d1.jpg?v=1656662278
リルモア スロー（ひざ掛け） 1700×1300 グレー,sofa,1400,#c5bdbd,francfranc,,https://francfranc.com/products/1102050013449?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=31714879012887&position=39,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102050013449_d1.jpg?v=1598862690
ジョルノ ソファ 3S ダークグレー,sofa,159000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010013672?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39816813445143&position=40,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/2508010007494_d1.jpg?v=1642663384
エリージャ ソリッドラグ L グレー,sofa,46900,#c5bdbd,francfranc,,https://francfranc.com/products/1102090028359?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39710503862295&position=41,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102090028359_d1.jpg?v=1643357426
エリージャ ソリッドラグ M グレー,sofa,29400,#c5bdbd,francfranc,,https://francfranc.com/products/1102090028342?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39710503829527&position=42,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102090028342_d1.jpg?v=1643357334
シェリー ビーズソファ グレー,sofa,9900,#c5bdbd,francfranc,,https://francfranc.com/products/1108010012699?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39710503993367&position=43,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010012699_d1.jpg?v=1640761289
【オンラインショップ限定】シャルム フロアチェア グレー,sofa,5980,#c5bdbd,francfranc,,https://francfranc.com/products/1108010013412?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39710504419351&position=44,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010013412_d1.jpg?v=1640761492
低反発 マルーナラグ ラウンド ライトグレー φ1500,sofa,21600,#c5bdbd,francfranc,,https://francfranc.com/products/1102090031137?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39546969587735&position=45,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102090031137_d1.jpg?v=1640758668
